NO,시군구,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),동,층,도로명
1,서울특별시 용산구 문배동,이안용산1차(102동),79.63,202506,30,"112,000",-,4,백범로90길 74
2,서울특별시 용산구 도원동,삼성래미안,114.99,202506,30,"160,000",-,2,새창로 70
3,서울특별시 성동구 상왕십리동,텐즈힐(2단지),55.2,202506,30,"127,000",-,4,마장로 137
4,서울특별시 광진구 자양동,한화꿈에그린,138.85,202506,30,"189,000",-,2,뚝섬로24길 74
5,서울특별시 성동구 행당동,행당한진타운,114.62,202506,30,"180,000",-,18,행당로 82
6,서울특별시 광진구 구의동,래미안파크스위트,59.98,202506,30,"134,000",-,9,광나루로 545
7,서울특별시 성동구 금호동3가,두산,124.19,202506,30,"118,000",-,2,동호로 100
8,서울특별시 중구 신당동,약수역더시티,19.06,202506,30,"26,000",-,9,동호로7길 14
9,서울특별시 용산구 신창동,세방리버하이빌,84.54,202506,30,"115,000",-,10,효창원로15길 16
10,서울특별시 용산구 이촌동,래미안첼리투스,124.02,202506,30,"392,500",-,4,이촌로 310
11,서울특별시 용산구 산천동,리버힐삼성,84.98,202506,30,"138,000",-,4,효창원로 17
12,서울특별시 용산구 한강로1가,용산파크자이,99.85,202506,30,"202,000",-,24,한강대로 205
13,서울특별시 중랑구 묵동,이편한세상화랑대,84.956,202506,30,"101,200",-,2,숙선옹주로 45
14,서울특별시 성북구 정릉동,중앙하이츠빌1단지,59.98,202506,30,"64,000",-,17,아리랑로19길 60
15,서울특별시 강북구 미아동,에스케이북한산시티,59.98,202506,30,"62,000",-,5,솔샘로 174
16,서울특별시 성북구 길음동,길음동동부센트레빌(1278-0),59.998,202506,30,"82,500",-,5,숭인로2길 61
17,서울특별시 동대문구 장안동,한신아파트,84.9,202506,30,"65,500",-,9,사가정로 245-3
18,서울특별시 성북구 돈암동,돈암동더샵아파트,84.817,202506,30,"79,500",-,16,아리랑로5길 85
19,서울특별시 중랑구 면목동,사가정센트럴아이파크,59.78,202506,30,"107,500",-,10,동일로92길 40
20,서울특별시 중랑구 신내동,신내우디안1단지,84.79,202506,30,"71,700",-,6,신내역로1길 85
21,서울특별시 성북구 동소문동7가,한신플러스C,59.91,202506,30,"75,500",-,5,동소문로15길 99
22,서울특별시 성북구 안암동3가,대광,61.92,202506,30,"21,500",-,7,안암로9나길 14
23,서울특별시 동대문구 청량리동,홍릉동부,84.91,202506,30,"82,000",-,2,홍릉로10길 48
24,서울특별시 성북구 상월곡동,동아에코빌,59.95,202506,30,"65,550",-,18,장월로1길 28
25,서울특별시 성북구 종암동,종암에스케이,84.72,202506,30,"84,000",-,16,종암로24가길 53
26,서울특별시 성북구 장위동,래미안장위퍼스트하이,59.99,202506,30,"96,800",-,6,한천로 713
27,서울특별시 양천구 신정동,푸른마을3,59.85,202506,30,"61,000",-,12,신정로11길 63
28,서울특별시 서대문구 홍제동,청구1차,84.78,202506,30,"96,000",-,12,통일로 348
29,서울특별시 서대문구 남가좌동,쌍용스윗닷홈,84.98,202506,30,"89,900",-,18,거북골로 91-6
